審查機關,產品類別,廣告品名,申請廠商,廣告核准字號,核准起始日期,核准結束日期,廣告類別
"臺中市","化粧品","1.雪芙蘭 倍潤‧肌乳木果油深度滋養乳液2.雪芙蘭 倍潤‧肌山茶花油亮膚嫩白乳液3.雪芙蘭 倍潤‧肌摩洛哥油彈力潤澤乳液4.雪芙蘭 倍潤‧肌乳木果油深度滋養乳霜5.雪芙蘭 倍潤‧肌山茶花油亮膚嫩白乳霜6.雪芙蘭 倍潤‧肌摩洛哥油彈力潤澤乳霜7.雪芙蘭 倍潤‧肌乳木果油深度滋養護手霜8.雪芙蘭 倍潤‧肌山茶花油亮膚嫩白護手霜","盛香堂股份有限公司","中市衛粧廣字10509468","1050906","1060906","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","HARRITUS赫麗提斯水亮嫩膜","龍興生化國際股份有限公司","中市衛粧廣字10509430","1050925","1060925","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","1.FEELING ME紅豆薏仁白金手工皂2.FEELING ME竹炭檜木白金手工皂3.FEELING ME牛奶白金手工皂4.FEELING ME月桃白金手工皂5.FEELING ME檸檬香茅白金手工皂6.FEELING ME米糠白金手工皂7.FEELING ME山茶花白金手工皂8.FEELING ME玻尿酸白金手工皂9.FEELING ME玉容散白金手工皂","林之林科技股份有限公司","中市衛粧廣字10509429","1050925","1060925","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","Miss8系列美士白草本粹取保濕凝膠","興展企業有限公司","中市衛粧廣字10509434","1050910","1060910","電台(秒數:180秒);;網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","化粧品","巴洛尼亞系列1.蘆薈C保濕凝膠2.蘆薈C洗面乳3.蘆薈C洗髮精4.蘆薈C沐浴乳5.蘆薈C身體乳6.柚子泡泡洗手乳7.胺基酸潤絲精8.胺基酸沐浴乳9.胺基酸亮澤洗髮精10.金箔抗皺保濕凝膠","興展企業有限公司","中市衛粧廣字10509435","1050917","1060917","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","醫療器材","＂上銀科技＂下肢肌力訓練機(未滅菌)","上銀科技科技股份有限公司","中市衛器廣字10509219","1050920","1060920","平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","醫療器材","＂上銀科技＂下肢肌力訓練機(未滅菌)","上銀科技股份有限公司","中市衛器廣字10509220","1050920","1060920","學術性醫療刊物"
"臺中市","醫療器材","1.六甲村簡易式托腹帶(未滅菌)2.六甲村雙層托腹帶(未滅菌)3.六甲村全腹式托腹帶(未滅菌)4.六甲村交叉式托腹帶(未滅菌)","六甲村實業有限公司","中市衛器廣字10509206","1050921","1060921","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","藥品","＂治痛單＂葫蘆標無糖治痛單液","治痛單股份有限公司","中市衛藥廣字10509136","1050919","1060919","網路;;平面媒體(海報、傳單、報紙、刊物、雜誌、廣告牌、車體、車廂等)"
"臺中市","藥品","百敏寧膜衣錠","井田國際醫藥廠股份有限公司","中市衛藥廣字10509123","1050907","1060907","電影、電視(秒數:60);;電台(秒數:60秒);;網路"
